 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description ;
;;;;;; i2s_lc_fifo_timeout_shift; [10:8] ; 3'b0 ; R/W ;;;;The bits are used to scale tick counter threshold. The tick counter is reset when counter value >= 88000/2^i2s_lc_fifo_timeout_shift;
;;;;;; i2s_lc_fifo_timeout; [7:0]; 8'h10; R/W ;;;;the i2s_tx_hung_int interrupt or the i2s_rx_hung_int interrupt will be triggered when fifo hung counter is equal to this value  ;
 0x00a0 ; I2SCONF1 ; clk ; reset_n ;;;; [31:10] ; 22'h0 ; R/W ;;;;;
;;;;;N/A; reg_i2s_tx_zeros_rm_en; [9] ; 1'd0 ;  R/W ;;;;don't use;
;;;;;; reg_i2s_tx_stop_en; [8] ; 1'd0 ;  R/W ;;;;Set this bit to stop disable output BCK signal and WS signal when tx FIFO is emtpy;
;;;;;; rx_pcm_bypass; [7]; 1'h1 ; R/W ;;;;Set this bit to bypass Compress/Decompress module for received data.;
;;;;;; rx_pcm_conf; [6:4]; 3'h0 ;  R/W ;;;;Compress/Decompress module configuration bits. 0: decompress received data  1:compress received data ;
;;;;;; tx_pcm_bypass; [3]; 1'h1 ; R/W ;;;;Set this bit to bypass  Compress/Decompress module for transmitted data.;
;;;;;; tx_pcm_conf; [2:0]; 3'h1 ;  R/W ;;;;Compress/Decompress module configuration bits. 0: decompress transmitted data  1:compress transmitted data ;
 0x00a4 ; I2S_PD_CONF ; clk ; reset_n ;;;; [31:7] ; 25'h0 ; RO ;;;;;
;;;;;; reg_dma_ram_clk_fo; [6]; 1'h0; R/W ;;;;;
;;;;;; reg_dma_ram_force_pu; [5]; 1'h1 ; R/W ;;;;;
;;;;;; reg_dma_ram_force_pd; [4]; 1'h0; R/W ;;;;;
;;;;;; reg_plc_mem_force_pu; [3] ; 1'h1 ; R/W ;;;;;
;;;;;; reg_plc_mem_force_pd; [2] ; 1'h0; R/W ;;;;;
;;;;;; reg_i2s_fifo_force_pu; [1] ; 1'h1 ; R/W ;;;;Force FIFO power-up;
;;;;;; reg_i2s_fifo_force_pd; [0] ; 1'h0; R/W ;;;;Force FIFO power-down;
 0x00a8 ; I2SCONF2 ; clk ; reset_n ;;;; [31:14] ; 18'h0 ; RO ;;;;;
;;;;;; reg_i2si_v_sync_filter_thres; [13:11]; 3'b0; R/W ;;;;;
;;;;;; reg_i2si_v_sync_filter_en; [10]; 1'b0; R/W ;;;;;
;;;;;; reg_cam_clk_loopback; [9]; 1'b0 ; R/W ;;;;Set this bit to loopback cam_clk from i2s_rx;
;;;;;; reg_cam_sync_fifo_reset; [8]; 1'b0 ; R/W ;;;;Set this bit to reset cam_sync_fifo;
;;;;;; reg_inter_valid_en ; [7]; 1'b0 ; R/W ;;;;Set this bit to enable camera internal valid; 
;;;;;; reg_ext_adc_start_en ; [6]; 1'b0 ; R/W ;;;;Set this bit to enable the function that ADC mode is triggered by external signal.; 
;;;;;; reg_lcd_en; [5]; 1'b0 ; R/W ;;;;Set this bit to enable LCD mode;
;;;;;N/A; reg_data_enable; [4] ; 1'h0; R/W ;;;;for debug camera mode enable;
;;;;;N/A; reg_data_enable_test_en; [3] ; 1'h0; R/W ;;;;for debug camera mode enable;
;;;;;; reg_lcd_tx_sdx2_en; [2] ; 1'h0; R/W ;;;;Set this bit to duplicate data pairs (Frame Form 2) in LCD mode.;
;;;;;; reg_lcd_tx_wrx2_en; [1] ; 1'h0; R/W ;;;;LCD WR double for one datum.;
;;;;;; reg_camera_en; [0] ; 1'h0; R/W ;;;;Set this bit to enable camera mode;
 0x00ac ; I2S_CLKM_CONF; clk ; reset_n ;;;; [31:23] ; 9'h0 ; RO ;;;;;
;;;;;; reg_clk_sel; [22:21]; 2'b0 ; R/W ;;;;Set this bit to enable clk_apll;  
;;;; Not;; reg_clk_en; [20]; 1'b0; R/W ;;;;Set this bit to enable clk gate;
;;;;;; reg_clkm_div_a; [19:14] ; 6'h0 ; R/W ;;;;Fractional clock divider denominator value;
;;;;;; reg_clkm_div_b; [13:8] ; 6'h0; R/W ;;;;Fractional clock divider numerator value;
;;;;;; reg_clkm_div_num; [7:0]; 8'd4; R/W ;;;;Integral I2S clock divider value;
 0x00b0 ; I2S_SAMPLE_RATE_CONF; clk ; reset_n ;;;; [31:24] ;  8'h0 ; RO ;;;;;
;;;;;; reg_rx_bits_mod; [23:18]; 6'd16 ; R/W ;;;;Set the bits to configure bit length of I2S receiver channel.;
;;;;;; reg_tx_bits_mod; [17:12]; 6'd16 ; R/W ;;;;Set the bits to configure bit length of I2S transmitter channel.;
;;;;;; reg_rx_bck_div_num; [11:6]; 6'd6; R/W ;;;;Bit clock configuration bits in receiver mode. ;
;;;;;; reg_tx_bck_div_num; [5:0]; 6'd6; R/W ;;;;Bit clock configuration bits in transmitter mode. ;
 0x00bc ;I2S_STATE ;  clk ;reset_n ;;;; [31:1]; 31'h0 ; RO ;;;;1: i2s_tx is idle state;
;;;;;; reg_i2s_tx_idle; [0] ;  1'b1; RO ;;;;;
 0x00fc ; I2S_DATE ; clk ; reset_n ; Not;; reg_i2sdate; [31:0] ; 32'h19052500; R/W ;;;;;
