Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description;;;;
0x002c;RTC_STORE4;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_scratch4;[31:0];0;R/W;;;;;;;;;
0x002d;RTC_STORE5;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_scratch5;[31:0];0;R/W;;;;;;;;;
0x002e;RTC_STORE6;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_scratch6;[31:0];0;R/W;;;;;;;;;
0x002f;RTC_STORE7;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_scratch7;[31:0];0;R/W;;;;;;;;;
0x0030;RTC_DIAG0;dig_clk_rtc_gated;rst_rtc_n;;;rtc_low_power_diag0;[31:0];0;RO;;;;;;;;;
0x0031;RTC_DIAG1;dig_clk_rtc_gated;rst_rtc_n;;;rtc_low_power_diag1;[31:0];0;RO;;;;;;;;;
0x0032;RTC_HOLD_FORCE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:18];0;RO;;;;;;;;;
;;;;;;reg_x32n_hold_force;[17];1'b0;R/W;;;;;;;;;
;;;;;;reg_x32p_hold_force;[16];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad7_hold_force;[15];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad6_hold_force;[14];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad5_hold_force;[13];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad4_hold_force;[12];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad3_hold_force;[11];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad2_hold_force;[10];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad1_hold_force;[9];1'b0;R/W;;;;;;;;;
;;;;;;reg_touch_pad0_hold_force;[8];1'b0;R/W;;;;;;;;;
;;;;;;reg_sense4_hold_force;[7];1'b0;R/W;;;;;;;;;
;;;;;;reg_sense3_hold_force;[6];1'b0;R/W;;;;;;;;;
;;;;;;reg_sense2_hold_force;[5];1'b0;R/W;;;;;;;;;
;;;;;;reg_sense1_hold_force;[4];1'b0;R/W;;;;;;;;;
;;;;;;reg_pdac2_hold_force;[3];1'b0;R/W;;;;;;;;;
;;;;;;reg_pdac1_hold_force;[2];1'b0;R/W;;;;;;;;;
;;;;;;reg_adc2_hold_force;[1];1'b0;R/W;;;;;;;;;
;;;;;;reg_adc1_hold_force;[0];1'b0;R/W;;;;;;;;;
0x0033;RTC_EXT_WAKEUP1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:19];13'b0;RO;;;;;;;;;
;;;;;;reg_ext_wakeup1_status_clr;[18];1'd0;WO;;;;;;;;;
;;;;;;reg_ext_wakeup1_sel;[17:0];18'd0;R/W;;;;;;;;;
0x0034;RTC_EXT_WAKEUP1_STATUS;dig_clk_rtc_gated;rst_rtc_n;;;;[31:18];14'b0;RO;;;;;;;;;
;;;;;;reg_ext_wakeup1_status;[17:0];18'd0;RO;;;;;;;;;
0x0035;RTC_BROWN_OUT;dig_clk_rtc_gated;rst_rtc_n;;;rtc_brown_out_det;[31];1'b0;RO;;;;;;;;;
;;;;;;reg_brown_out_ena;[30];1'b0;R/W;;;;;;;;;
;;;;;;reg_dbrown_out_thres;[29:27];3'b010;R/W;;;;;;;;;
;;;;;;reg_brown_out_rst_ena;[26];1'b0;R/W;;;;;;;;;
;;;;;;reg_brown_out_rst_wait;[25:16];10'h3ff;R/W;;;;;;;;;
;;;;;;reg_brown_out_pd_rf_ena;[15];1'b0;R/W;;;;;;;;;
;;;;;;reg_brown_out_close_flash_ena;[14];1'b0;R/W;;;;;;;;;
;;;;;;;[13:0];;;;;;;;;;;
0x004f;RTC_CNTL_DATE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:28];;;;;;;;;;;
;;;;;;rtc_cntl_date;[27:0];28'h1604280;R/W;;;;;;;;;
