Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;INPUT;OUTPUT;INTERRUPT
0x1B8;PRO_CAN_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_can_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1BC;PRO_RTC_CORE_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rtc_core_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1C0;PRO_RMT_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rmt_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1C4;PRO_PCNT_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_pcnt_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1C8;PRO_I2C_EXT0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_i2c_ext0_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1CC;PRO_I2C_EXT1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_i2c_ext1_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1D0;PRO_RSA_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rsa_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1D4;PRO_SPI1_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi1_dma_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1D8;PRO_SPI2_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi2_dma_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1DC;PRO_SPI3_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi3_dma_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1E0;PRO_WDG_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_wdg_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1E4;PRO_TIMER_INT1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_timer_int1_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1E8;PRO_TIMER_INT2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_timer_int2_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1EC;PRO_TG_T0_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_t0_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1F0;PRO_TG_T1_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_t1_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1F4;PRO_TG_WDT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_wdt_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1F8;PRO_TG_LACT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_lact_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x1FC;PRO_TG1_T0_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_t0_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x200;PRO_TG1_T1_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_t1_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x204;PRO_TG1_WDT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_wdt_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x208;PRO_TG1_LACT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_lact_edge_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x20C;PRO_MMU_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_mmu_ia_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x210;PRO_MPU_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_mpu_ia_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x214;PRO_CACHE_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_cache_ia_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x218;APP_MAC_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_mac_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x21C;APP_MAC_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_mac_nmi_map;[4:0];5'd16;R/W;;;;;;;APP
0x220;APP_BB_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_bb_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x224;APP_BT_MAC_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_bt_mac_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x228;APP_BT_BB_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_bt_bb_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x22C;APP_BT_BB_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_bt_bb_nmi_map;[4:0];5'd16;R/W;;;;;;;APP
0x230;APP_RWBT_IRQ_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rwbt_irq_map;[4:0];5'd16;R/W;;;;;;;APP
0x234;APP_RWBLE_IRQ_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rwble_irq_map;[4:0];5'd16;R/W;;;;;;;APP
0x238;APP_RWBT_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rwbt_nmi_map;[4:0];5'd16;R/W;;;;;;;APP
0x23C;APP_RWBLE_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rwble_nmi_map;[4:0];5'd16;R/W;;;;;;;APP
0x240;APP_SLC0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_slc0_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x244;APP_SLC1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_slc1_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x248;APP_UHCI0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_uhci0_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x24C;APP_UHCI1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_uhci1_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x250;APP_TG_T0_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_t0_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x254;APP_TG_T1_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_t1_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x258;APP_TG_WDT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_wdt_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x25C;APP_TG_LACT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_lact_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x260;APP_TG1_T0_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_t0_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x264;APP_TG1_T1_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_t1_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x268;APP_TG1_WDT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_wdt_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x26C;APP_TG1_LACT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_lact_level_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x270;APP_GPIO_INTERRUPT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_gpio_interrupt_app_map;[4:0];5'd16;R/W;;;;;;;APP
0x274;APP_GPIO_INTERRUPT_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_gpio_interrupt_app_nmi_map;[4:0];5'd16;R/W;;;;;;;APP
0x278;APP_CPU_INTR_FROM_CPU_0_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_cpu_intr_from_cpu_0_map;[4:0];5'd16;R/W;;;;;;;APP
0x27C;APP_CPU_INTR_FROM_CPU_1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_cpu_intr_from_cpu_1_map;[4:0];5'd16;R/W;;;;;;;APP
0x280;APP_CPU_INTR_FROM_CPU_2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_cpu_intr_from_cpu_2_map;[4:0];5'd16;R/W;;;;;;;APP
0x284;APP_CPU_INTR_FROM_CPU_3_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_cpu_intr_from_cpu_3_map;[4:0];5'd16;R/W;;;;;;;APP
0x288;APP_SPI_INTR_0_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi_intr_0_map;[4:0];5'd16;R/W;;;;;;;APP
0x28C;APP_SPI_INTR_1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi_intr_1_map;[4:0];5'd16;R/W;;;;;;;APP
0x290;APP_SPI_INTR_2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi_intr_2_map;[4:0];5'd16;R/W;;;;;;;APP
0x294;APP_SPI_INTR_3_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi_intr_3_map;[4:0];5'd16;R/W;;;;;;;APP
0x298;APP_I2S0_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_i2s0_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x29C;APP_I2S1_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_i2s1_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2A0;APP_UART_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_uart_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2A4;APP_UART1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_uart1_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2A8;APP_UART2_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_uart2_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2AC;APP_SDIO_HOST_INTERRUPT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_sdio_host_interrupt_map;[4:0];5'd16;R/W;;;;;;;APP
0x2B0;APP_EMAC_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_emac_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2B4;APP_PWM0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_pwm0_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2B8;APP_PWM1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_pwm1_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2BC;APP_PWM2_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_pwm2_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2C0;APP_PWM3_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_pwm3_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2C4;APP_LEDC_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_ledc_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2C8;APP_EFUSE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_efuse_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2CC;APP_CAN_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_can_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2D0;APP_RTC_CORE_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rtc_core_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2D4;APP_RMT_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rmt_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2D8;APP_PCNT_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_pcnt_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2DC;APP_I2C_EXT0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_i2c_ext0_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2E0;APP_I2C_EXT1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_i2c_ext1_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2E4;APP_RSA_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_rsa_intr_map;[4:0];5'd16;R/W;;;;;;;APP
0x2E8;APP_SPI1_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi1_dma_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2EC;APP_SPI2_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi2_dma_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2F0;APP_SPI3_DMA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_spi3_dma_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2F4;APP_WDG_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_wdg_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x2F8;APP_TIMER_INT1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_timer_int1_map;[4:0];5'd16;R/W;;;;;;;APP
0x2FC;APP_TIMER_INT2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_timer_int2_map;[4:0];5'd16;R/W;;;;;;;APP
0x300;APP_TG_T0_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_t0_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x304;APP_TG_T1_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_t1_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x308;APP_TG_WDT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_wdt_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x30C;APP_TG_LACT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg_lact_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x310;APP_TG1_T0_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_t0_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x314;APP_TG1_T1_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_t1_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x318;APP_TG1_WDT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_wdt_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x31C;APP_TG1_LACT_EDGE_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_tg1_lact_edge_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x320;APP_MMU_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_mmu_ia_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x324;APP_MPU_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_mpu_ia_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x328;APP_CACHE_IA_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;app_cache_ia_int_map;[4:0];5'd16;R/W;;;;;;;APP
0x32C;AHBLITE_MPU_TABLE_UART;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uart_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x330;AHBLITE_MPU_TABLE_SPI1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x334;AHBLITE_MPU_TABLE_SPI0;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi0_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x338;AHBLITE_MPU_TABLE_GPIO;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;gpio_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x33C;AHBLITE_MPU_TABLE_FE2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;fe2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x340;AHBLITE_MPU_TABLE_FE;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;fe_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x344;AHBLITE_MPU_TABLE_TIMER;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;timer_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x348;AHBLITE_MPU_TABLE_RTC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;rtc_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x34C;AHBLITE_MPU_TABLE_IO_MUX;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;iomux_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x350;AHBLITE_MPU_TABLE_WDG;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;wdg_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x354;AHBLITE_MPU_TABLE_HINF;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;hinf_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x358;AHBLITE_MPU_TABLE_UHCI1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uhci1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x35C;AHBLITE_MPU_TABLE_MISC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;misc_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x360;AHBLITE_MPU_TABLE_I2C;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2c_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x364;AHBLITE_MPU_TABLE_I2S0;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2s0_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x368;AHBLITE_MPU_TABLE_UART1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uart1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x36C;AHBLITE_MPU_TABLE_BT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;bt_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x370;AHBLITE_MPU_TABLE_BT_BUFFER;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;btbuffer_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x374;AHBLITE_MPU_TABLE_I2C_EXT0;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2cext0_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x378;AHBLITE_MPU_TABLE_UHCI0;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uhci0_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x37C;AHBLITE_MPU_TABLE_SLCHOST;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;slchost_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x380;AHBLITE_MPU_TABLE_RMT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;rmt_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x384;AHBLITE_MPU_TABLE_PCNT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pcnt_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x388;AHBLITE_MPU_TABLE_SLC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;slc_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x38C;AHBLITE_MPU_TABLE_LEDC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;ledc_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x390;AHBLITE_MPU_TABLE_EFUSE;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;efuse_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x394;AHBLITE_MPU_TABLE_SPI_ENCRYPT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi_encrypy_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x398;AHBLITE_MPU_TABLE_BB;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;bb_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x39C;AHBLITE_MPU_TABLE_PWM0;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm0_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3A0;AHBLITE_MPU_TABLE_TIMERGROUP;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;timergroup_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3A4;AHBLITE_MPU_TABLE_TIMERGROUP1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;timergroup1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3A8;AHBLITE_MPU_TABLE_SPI2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3AC;AHBLITE_MPU_TABLE_SPI3;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi3_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B0;AHBLITE_MPU_TABLE_APB_CTRL;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;apbctrl_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B4;AHBLITE_MPU_TABLE_I2C_EXT1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2cext1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B8;AHBLITE_MPU_TABLE_SDIO_HOST;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;sdiohost_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3BC;AHBLITE_MPU_TABLE_EMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;emac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C0;AHBLITE_MPU_TABLE_CAN;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;can_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C4;AHBLITE_MPU_TABLE_PWM1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C8;AHBLITE_MPU_TABLE_I2S1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2s1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3CC;AHBLITE_MPU_TABLE_UART2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uart2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D0;AHBLITE_MPU_TABLE_PWM2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D4;AHBLITE_MPU_TABLE_PWM3;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm3_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D8;AHBLITE_MPU_TABLE_RWBT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;rwbt_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3DC;AHBLITE_MPU_TABLE_BTMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;btmac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E0;AHBLITE_MPU_TABLE_WIFIMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;wifimac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E4;AHBLITE_MPU_TABLE_PWR;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwr_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E8;MEM_ACCESS_DBUG0;CLK;nReset;;;;[31:30];2'b0;RO;;;;;;;
